latitude,longitude,brightness,confidence,frp,daynight,acq_date
-31.7519,148.4954,312.3,34,6.1,D,2019-08-20
-16.6074,124.1815,322.4,100,21.8,N,2019-08-25
-31.6998,148.8042,337.9,89,34.5,D,2019-08-06
-27.4841,150.3423,326.7,80,117.3,D,2019-08-26
-26.2704,130.0102,370.4,100,196.6,D,2019-09-15
-27.5723,149.1237,329.5,84,183.8,D,2019-08-14
-20.6892,117.8975,323.0,68,34.5,D,2019-08-08
-28.9999,152.285,350.0,100,62.2,N,2019-09-06
-16.8596,123.1514,343.3,55,29.1,D,2019-08-24
-14.0773,129.849,360.7,100,114.6,D,2019-09-11
-29.7243,152.0591,373.4,100,133.3,D,2019-09-16
-18.4898,145.8675,312.3,24,37.8,D,2019-09-13
-28.9317,152.3358,304.4,25,31.0,N,2019-09-12
-30.8966,152.4014,342.1,93,54.0,D,2019-08-10
-25.6304,148.5645,318.4,66,17.4,D,2019-09-03
-29.1816,152.9819,327.7,44,89.7,N,2019-08-11
-14.7794,126.5149,341.2,64,31.1,D,2019-09-13
-25.9489,150.8717,335.6,86,31.5,D,2019-09-07
-14.6826,126.5539,361.3,100,78.5,D,2019-09-08
-16.6659,124.0798,342.1,89,50.2,D,2019-08-28
-22.7074,150.6519,323.3,60,14.8,D,2019-09-08
-30.2682,152.6022,342.1,93,45.2,D,2019-09-09
-15.4542,128.1471,305.9,66,10.6,N,2019-08-11
-27.5535,147.2111,328.4,70,13.9,D,2019-09-28
-29.9915,152.3792,315.5,91,28.3,N,2019-09-27
-26.2643,150.8923,322.5,60,20.1,D,2019-09-07
-29.9439,152.874,306.7,40,14.6,N,2019-08-08
-14.1742,129.9415,365.3,100,83.3,D,2019-08-28
-30.2591,152.6004,374.1,100,129.8,D,2019-09-09
-29.8202,152.1639,305.1,62,8.3,N,2019-09-15
-29.9057,152.2264,333.5,56,37.5,D,2019-09-23
-28.0312,153.1609,309.5,68,11.0,N,2019-09-05
-22.5823,150.6957,314.3,89,65.3,N,2019-09-09
-14.014,129.74,361.7,100,78.5,D,2019-08-12
-32.5918,116.4977,313.7,58,6.4,D,2019-09-10
-30.1877,152.4655,306.3,40,73.8,N,2019-09-07
-22.4701,150.6186,320.6,64,47.6,D,2019-09-13
-37.3453,141.4878,327.4,35,29.3,D,2019-09-19
-24.3776,128.7771,335.0,75,15.1,D,2019-09-04
-30.2115,152.6279,362.7,100,103.3,N,2019-09-07
-29.0971,152.1134,302.6,47,10.0,N,2019-09-07
-22.621,150.5715,351.2,83,288.6,D,2019-08-21
-25.1482,151.8401,308.3,22,4.8,D,2019-08-10
-31.6214,150.1416,322.5,81,87.7,D,2019-08-21
-21.0783,118.7384,304.1,58,18.8,N,2019-09-11
-17.2482,125.4912,332.0,75,36.4,D,2019-09-13
-37.3597,142.122,316.4,77,28.3,D,2019-09-11
-14.188,129.8606,342.7,66,41.0,D,2019-09-11
-14.055,129.7747,347.6,92,44.6,D,2019-08-12
-22.65,150.6829,318.0,51,10.8,D,2019-09-09
-29.9736,152.2582,341.2,65,50.9,D,2019-09-23
-25.1416,151.8749,328.4,84,41.3,D,2019-08-12
-29.0042,150.7624,420.8,100,569.9,D,2019-08-26
-26.8823,150.5447,316.8,60,8.2,D,2019-09-10
-14.9136,129.7304,343.6,91,103.7,D,2019-08-14
-30.0356,152.3472,300.8,31,40.9,N,2019-09-15
-18.1004,144.6689,322.9,59,21.8,N,2019-09-06
-37.1708,149.8986,313.4,74,43.8,D,2019-08-21
-29.7852,152.0741,334.3,71,66.2,D,2019-09-13
-15.0909,129.8466,310.8,79,8.8,N,2019-08-11
-26.2266,150.8977,317.2,71,15.7,D,2019-09-08
-29.8265,152.7632,318.6,56,14.5,D,2019-08-15
-16.5253,124.0546,318.1,46,48.1,D,2019-08-24
-26.4319,150.9915,317.8,9,11.3,D,2019-09-14
-21.8487,134.6046,416.6,100,702.8,D,2019-09-20
-14.1152,129.8621,348.5,91,45.2,D,2019-09-13
-29.561,153.235,322.0,31,24.8,D,2019-09-07
-27.5372,150.795,320.3,0,17.9,N,2019-08-13
-29.8711,152.1481,313.6,87,106.5,N,2019-09-23
-22.6718,150.557,344.6,93,146.8,D,2019-08-21
-26.3842,150.6655,316.7,74,44.4,D,2019-09-06
-31.6908,148.8025,311.0,53,4.5,D,2019-08-06
-25.9153,150.8878,361.4,100,260.6,D,2019-09-06
-14.0928,129.9822,350.3,95,108.4,D,2019-08-29
-16.1709,126.1956,331.7,72,16.7,D,2019-08-17
-22.7237,150.5745,378.3,100,218.2,D,2019-08-22
-32.1097,134.7951,314.8,12,48.8,D,2019-08-06
-30.1168,152.421,333.9,85,61.6,D,2019-09-14
-31.7663,116.4326,315.9,67,13.0,D,2019-09-08
-29.0294,152.3298,328.8,68,27.4,N,2019-09-06
-16.5771,122.8333,327.9,53,70.6,D,2019-09-10
-41.2629,147.6845,311.9,51,51.7,D,2019-09-20
-29.0562,152.4588,338.4,100,47.6,N,2019-09-08
-31.4615,148.1344,311.6,61,5.2,D,2019-08-13
-28.913,152.3296,319.2,28,36.1,D,2019-09-15
-16.8679,123.1354,321.6,36,17.1,D,2019-08-25
-30.823,152.0256,334.2,88,219.0,D,2019-09-08
-29.5565,153.2183,343.2,93,73.2,D,2019-09-06
-21.7064,134.6177,334.9,47,27.9,D,2019-09-20
-29.7127,152.4439,322.4,77,16.1,N,2019-09-06
-28.0455,153.1417,302.5,42,6.7,N,2019-09-05
-14.4882,129.5345,348.8,92,51.7,D,2019-09-04
-30.0622,152.3587,334.7,80,63.5,D,2019-09-13
-26.1542,153.0626,338.6,100,47.0,N,2019-09-17
-28.9574,152.342,323.1,57,21.5,D,2019-09-10
